candidate_term,surface例,entity_count,sourceType,proposed_controlled,proposed_relation,ambiguity,recommendation,evidence_examples,reviewStatus,note
MRIで測った流れと数値計算を組み合わせると、患者ごとの血流をどこまで正確に再現できるのか？,MRIで測った流れと数値計算を組み合わせると、患者ごとの血流をどこまで正確に再現できるのか？,1,lab,,redundant_question,low,reject,脳の血管の形が人によって異なると、血液の流れや血管壁への力は,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
National,National,1,journal,,isolated_term,low,needs_review,National Academy of Sciencesが発,pending,単発出現のため採否保留
National Academy of Sciencesが発行する、自然科学・社会科学・医学を横断する国際主要誌。,National Academy of Sciencesが発行する、自然科学・社会科学・医学を横断する国際主要誌。,1,journal,,sentence_fragment,low,reject,National Academy of Sciencesが発,pending,文章断片は統制語候補にしない
Plant,Plant,1,journal,,isolated_term,low,needs_review,American Society of Plant Biol,pending,単発出現のため採否保留
Society,Society,1,journal,,isolated_term,low,needs_review,American Society of Plant Biol,pending,単発出現のため採否保留
がん医療は、臨床試験、医療制度、地域差、政策、患者アウトカムの観点からどう改善できるのか？,がん医療は、臨床試験、医療制度、地域差、政策、患者アウトカムの観点からどう改善できるのか？,1,journal,,redundant_question,low,reject,がん医療は、臨床試験、医療制度、地域差、政策、患者アウトカム,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
がん臨床試験,がん臨床試験,1,journal,,isolated_term,low,needs_review,臨床腫瘍学を扱うThe Lancet系の国際主要誌。がん臨床,pending,単発出現のため採否保留
がん薬物療法,がん薬物療法,1,society,,isolated_term,low,needs_review,臨床腫瘍学に関する国内学会。がん薬物療法、臨床試験、分子標的,pending,単発出現のため採否保留
がん薬物療法は、腫瘍の遺伝子、病期、患者状態、副作用、治療目標によってどのように選択されているのか？,がん薬物療法は、腫瘍の遺伝子、病期、患者状態、副作用、治療目標によってどのように選択されているのか？,1,society,,redundant_question,low,reject,がん薬物療法は、腫瘍の遺伝子、病期、患者状態、副作用、治療目,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
すべての状態を直接測れないシステムを、限られた観測からどう制御できるのか？,すべての状態を直接測れないシステムを、限られた観測からどう制御できるのか？,1,field,,redundant_question,low,reject,すべての状態を直接測れないシステムを、限られた観測からどう制,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
どのような行為を犯罪とし、刑罰を科すことはどのように正当化されるのか？,どのような行為を犯罪とし、刑罰を科すことはどのように正当化されるのか？,1,society,,redundant_question,low,reject,どのような行為を犯罪とし、刑罰を科すことはどのように正当化さ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
わずかな不純物や界面の設計によって、半導体の電気的・光学的性質をどこまで変えられるのか？,わずかな不純物や界面の設計によって、半導体の電気的・光学的性質をどこまで変えられるのか？,1,field,,redundant_question,low,reject,電子が同じ物質中にあるのに、電気を通す場合と通さない場合が生,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
アルゴリズム,アルゴリズム,1,field,,isolated_term,low,needs_review,計算問題 / アルゴリズム / 計算モデル / 言語 / 証,pending,単発出現のため採否保留
エアロゾル,エアロゾル,1,journal,,isolated_term,low,needs_review,AGUが発行する、大気科学を扱う国際主要誌。大気物理、化学、,pending,単発出現のため採否保留
エネルギーと資源の利用は、技術、経済、環境、政策の中でどのように最適化できるのか？,エネルギーと資源の利用は、技術、経済、環境、政策の中でどのように最適化できるのか？,1,journal,,redundant_question,low,reject,エネルギーと資源の利用は、技術、経済、環境、政策の中でどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
エネルギーを効率よく取り出しながら、有害物質や二酸化炭素を減らす燃焼条件をどう設計するのか？,エネルギーを効率よく取り出しながら、有害物質や二酸化炭素を減らす燃焼条件をどう設計するのか？,1,lab,,redundant_question,low,reject,燃料の種類や燃やし方を変えると、炎・熱・排出物はどのように変,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
エネルギー・資源学会系の,エネルギー・資源学会系の,1,journal,,isolated_term,low,needs_review,エネルギー・資源学会系の、エネルギー、資源、環境、社会システ,pending,単発出現のため採否保留
エネルギー・資源学会系の、エネルギー、資源、環境、社会システムに関する和文誌。,エネルギー・資源学会系の、エネルギー、資源、環境、社会システムに関する和文誌。,1,journal,,sentence_fragment,low,reject,エネルギー・資源学会系の、エネルギー、資源、環境、社会システ,pending,文章断片は統制語候補にしない
コンピュータの方式が変わっても変わらない、計算の根本的な限界は何か？,コンピュータの方式が変わっても変わらない、計算の根本的な限界は何か？,1,field,,redundant_question,low,reject,問題の内容が違っても、計算の難しさを共通の尺度でどこまで比較,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
サービス,サービス,1,journal,,isolated_term,low,needs_review,デザイン学を扱う国内誌。プロダクト、情報、環境、サービス、感,pending,単発出現のため採否保留
システム、制御、情報、計測、最適化、知能情報処理などを横断的に扱う国内学会。,システム、制御、情報、計測、最適化、知能情報処理などを横断的に扱う国内学会。,1,society,,sentence_fragment,low,reject,システム、制御、情報、計測、最適化、知能情報処理などを横断的,pending,文章断片は統制語候補にしない
システム制御情報学会が発行する、システム、制御、情報に関する研究成果を扱う査読付き学術誌。,システム制御情報学会が発行する、システム、制御、情報に関する研究成果を扱う査読付き学術誌。,1,journal,,sentence_fragment,low,reject,システム制御情報学会が発行する、システム、制御、情報に関する,pending,文章断片は統制語候補にしない
システム科学,システム科学,1,journal,,isolated_term,low,needs_review,システム制御情報学会が発行する、システム、制御、情報に関する,pending,単発出現のため採否保留
ソフトウェア,ソフトウェア,1,society,,isolated_term,low,needs_review,計算機科学に関する国際的な主要学会組織。ソフトウェア、データ,pending,単発出現のため採否保留
デザイン,デザイン,1,journal,,isolated_term,low,needs_review,デジタル技術と創造性を扱う国際誌。デジタルアート、デザイン、,pending,単発出現のため採否保留
デザイン学を扱う国内誌,デザイン学を扱う国内誌,1,journal,,isolated_term,low,needs_review,デザイン学を扱う国内誌。プロダクト、情報、環境、サービス、感,pending,単発出現のため採否保留
デザイン学を扱う国内誌。,デザイン学を扱う国内誌。,1,journal,,sentence_fragment,low,reject,デザイン学を扱う国内誌。プロダクト、情報、環境、サービス、感,pending,文章断片は統制語候補にしない
デザイン方法論、評価、事例研究を通じて、人工物・サービス・環境の質をどう高められるのか？,デザイン方法論、評価、事例研究を通じて、人工物・サービス・環境の質をどう高められるのか？,1,journal,,redundant_question,low,reject,人間の経験や社会課題に対して、デザインはどのような方法で解決,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
デザイン研究、メディア研究、実践研究を通じて、デジタル創作の方法と価値をどう理解できるのか？,デザイン研究、メディア研究、実践研究を通じて、デジタル創作の方法と価値をどう理解できるのか？,1,journal,,redundant_question,low,reject,デジタル技術は、創造性、表現、制作プロセス、鑑賞体験をどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
デジタルアート,デジタルアート,1,journal,,isolated_term,low,needs_review,デジタル技術と創造性を扱う国際誌。デジタルアート、デザイン、,pending,単発出現のため採否保留
デジタル技術と創造性を扱う国際誌,デジタル技術と創造性を扱う国際誌,1,journal,,isolated_term,low,needs_review,デジタル技術と創造性を扱う国際誌。デジタルアート、デザイン、,pending,単発出現のため採否保留
デジタル技術と創造性を扱う国際誌。,デジタル技術と創造性を扱う国際誌。,1,journal,,sentence_fragment,low,reject,デジタル技術と創造性を扱う国際誌。デジタルアート、デザイン、,pending,文章断片は統制語候補にしない
デジタル技術は、創造性、表現、制作プロセス、鑑賞体験をどのように変えるのか？,デジタル技術は、創造性、表現、制作プロセス、鑑賞体験をどのように変えるのか？,1,journal,,redundant_question,low,reject,デジタル技術は、創造性、表現、制作プロセス、鑑賞体験をどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
データ,データ,1,field,,isolated_term,low,needs_review,データ / 標本 / 母集団 / 確率分布 / 統計量 / ,pending,単発出現のため採否保留
データ、モデル、最適化、制御理論を組み合わせることで、実システムの性能・安全性・信頼性をどう高められるのか？,データ、モデル、最適化、制御理論を組み合わせることで、実システムの性能・安全性・信頼性をどう高められるのか？,1,journal,,redundant_question,low,reject,複雑な対象をシステムとしてモデル化し、その状態や振る舞いをど,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
データに見える差は、本当の違いなのか、それとも偶然のばらつきなのか？,データに見える差は、本当の違いなのか、それとも偶然のばらつきなのか？,1,field,,redundant_question,low,reject,データに見える差は、本当の違いなのか、それとも偶然のばらつき,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
データのばらつきを整理し、背後にある傾向や関係を明らかにする分野。,データのばらつきを整理し、背後にある傾向や関係を明らかにする分野。,1,field,,sentence_fragment,low,reject,データのばらつきを整理し、背後にある傾向や関係を明らかにする,pending,文章断片は統制語候補にしない
データベース,データベース,1,society,,isolated_term,low,needs_review,計算機科学に関する国際的な主要学会組織。ソフトウェア、データ,pending,単発出現のため採否保留
ブレーン,ブレーン,1,field,,isolated_term,low,needs_review,弦 / ブレーン / 余剰次元 / 超対称粒子 / 双対性 ,pending,単発出現のため採否保留
プラズマが水と触れる境界では、どのような反応性の高い物質が生まれるのか？,プラズマが水と触れる境界では、どのような反応性の高い物質が生まれるのか？,1,lab,,redundant_question,low,reject,プラズマが水と触れる境界では、どのような反応性の高い物質が生,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
プラズマで作る物質の種類や量を制御すると、滅菌・農業・材料合成へどのように使い分けられるのか？,プラズマで作る物質の種類や量を制御すると、滅菌・農業・材料合成へどのように使い分けられるのか？,1,lab,,redundant_question,low,reject,プラズマが水と触れる境界では、どのような反応性の高い物質が生,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
プロダクト,プロダクト,1,journal,,isolated_term,low,needs_review,デザイン学を扱う国内誌。プロダクト、情報、環境、サービス、感,pending,単発出現のため採否保留
ホウ素,ホウ素,1,lab,,isolated_term,low,needs_review,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,pending,単発出現のため採否保留
ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有機分子の作り方を研究する研究室。,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有機分子の作り方を研究する研究室。,1,lab,,sentence_fragment,low,reject,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,pending,文章断片は統制語候補にしない
モデルが現実と少し違っていても、安定して目的を達成する制御はどう設計できるのか？,モデルが現実と少し違っていても、安定して目的を達成する制御はどう設計できるのか？,1,field,,redundant_question,low,reject,すべての状態を直接測れないシステムを、限られた観測からどう制,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
モータ,モータ,1,lab,,isolated_term,low,needs_review,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,pending,単発出現のため採否保留
モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の複雑な振る舞いをコンピュータで再現する研究室。,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の複雑な振る舞いをコンピュータで再現する研究室。,1,lab,,sentence_fragment,low,reject,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,pending,文章断片は統制語候補にしない
モータや変圧器の内部では、電気と磁気の作用がどのように力や熱へ変わるのか？,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱へ変わるのか？,1,lab,,redundant_question,low,reject,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
リー群,リー群,1,field,,isolated_term,low,needs_review,群 / 環 / リー群 / リー環 / 加群 / 表現 / ,pending,単発出現のため採否保留
一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微鏡や分光技術で測る研究室。,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微鏡や分光技術で測る研究室。,1,lab,,sentence_fragment,low,reject,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,pending,文章断片は統制語候補にしない
一つの分子やナノ材料は、光を受けるとどのように発光したり反応したりするのか？,一つの分子やナノ材料は、光を受けるとどのように発光したり反応したりするのか？,1,lab,,redundant_question,low,reject,一つの分子やナノ材料は、光を受けるとどのように発光したり反応,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑が生まれるのか？,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑が生まれるのか？,1,lab,,redundant_question,low,reject,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
一部OA,一部OA,1,journal,,isolated_term,low,needs_review,,pending,単発出現のため採否保留
不確実さや個人差を含むデータから、現象を説明する数理モデルをどのように作るのか？,不確実さや個人差を含むデータから、現象を説明する数理モデルをどのように作るのか？,1,lab,,redundant_question,low,reject,観測された行動や信号から、直接見えない内部状態をどのように推,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
人の混雑,人の混雑,1,lab,,isolated_term,low,needs_review,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,pending,単発出現のため採否保留
人や車の動き方を少し変えるだけで、流れ全体を滑らかにするにはどこへ働きかければよいのか？,人や車の動き方を少し変えるだけで、流れ全体を滑らかにするにはどこへ働きかければよいのか？,1,lab,,redundant_question,low,reject,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
人間の経験や社会課題に対して、デザインはどのような方法で解決案を形にするのか？,人間の経験や社会課題に対して、デザインはどのような方法で解決案を形にするのか？,1,journal,,redundant_question,low,reject,人間の経験や社会課題に対して、デザインはどのような方法で解決,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
人類の文化、社会、言語、身体、歴史は、地域や時代を超えてどのように多様化してきたのか？,人類の文化、社会、言語、身体、歴史は、地域や時代を超えてどのように多様化してきたのか？,1,society,,redundant_question,low,reject,人類の文化、社会、言語、身体、歴史は、地域や時代を超えてどの,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
人類学に関する国際的な主要学会,人類学に関する国際的な主要学会,1,society,,isolated_term,low,needs_review,人類学に関する国際的な主要学会。文化人類学、社会人類学、言語,pending,単発出現のため採否保留
人類学に関する国際的な主要学会。,人類学に関する国際的な主要学会。,1,society,,sentence_fragment,low,reject,人類学に関する国際的な主要学会。文化人類学、社会人類学、言語,pending,文章断片は統制語候補にしない
人類学を発展させるには、民族誌、現地調査、比較、言語、歴史、倫理をどう結びつける必要があるのか？,人類学を発展させるには、民族誌、現地調査、比較、言語、歴史、倫理をどう結びつける必要があるのか？,1,society,,redundant_question,low,reject,人類の文化、社会、言語、身体、歴史は、地域や時代を超えてどの,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
位相空間,位相空間,1,field,,isolated_term,low,needs_review,位相空間 / 連続写像 / 同相 / コンパクト性 / 連結,pending,単発出現のため採否保留
余剰次元,余剰次元,1,field,,isolated_term,low,needs_review,弦 / ブレーン / 余剰次元 / 超対称粒子 / 双対性 ,pending,単発出現のため採否保留
働きを変えるのかを研究する研究室,働きを変えるのかを研究する研究室,1,lab,,isolated_term,low,needs_review,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,pending,単発出現のため採否保留
光を非常に小さな領域へ集めると、通常は見えない分子の動きや反応をどう観察できるのか？,光を非常に小さな領域へ集めると、通常は見えない分子の動きや反応をどう観察できるのか？,1,lab,,redundant_question,low,reject,一つの分子やナノ材料は、光を受けるとどのように発光したり反応,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
入力,入力,1,field,,isolated_term,low,needs_review,状態 / 入力 / 出力 / 観測 / 制御器 / 外乱 /,pending,単発出現のため採否保留
公理,公理,1,field,,isolated_term,low,needs_review,記号体系 / 公理 / 数学的構造 / アルゴリズム / 確,pending,単発出現のため採否保留
出力,出力,1,field,,isolated_term,low,needs_review,状態 / 入力 / 出力 / 観測 / 制御器 / 外乱 /,pending,単発出現のため採否保留
分子生物学,分子生物学,1,society,,isolated_term,low,needs_review,生化学に関する国内学会。元データでは分子生物学にも紐づき、遺,pending,単発出現のため採否保留
分子生物学、生理学、ゲノム解析を通じて、植物の成長や環境応答をどう理解できるのか？,分子生物学、生理学、ゲノム解析を通じて、植物の成長や環境応答をどう理解できるのか？,1,journal,,redundant_question,low,reject,植物は、光、水、栄養、温度、ストレスに応じて、生理機能をどの,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
分子生物学と生化学を組み合わせると、遺伝子発現、タンパク質機能、代謝異常をどのように理解できるのか？,分子生物学と生化学を組み合わせると、遺伝子発現、タンパク質機能、代謝異常をどのように理解できるのか？,1,society,,redundant_question,low,reject,DNA、RNA、タンパク質、酵素の働きは、細胞内の反応や生命,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
分散処理,分散処理,1,society,,isolated_term,low,needs_review,計算機科学に関する国際的な主要学会組織。ソフトウェア、データ,pending,単発出現のため採否保留
分野を横断する科学的発見は、生命、物質、環境、社会の理解をどのように更新するのか？,分野を横断する科学的発見は、生命、物質、環境、社会の理解をどのように更新するのか？,1,journal,,redundant_question,low,reject,分野を横断する科学的発見は、生命、物質、環境、社会の理解をど,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
刑事政策,刑事政策,1,society,,isolated_term,low,needs_review,刑法・刑事法に関する国内学会。犯罪、刑罰、刑法理論、刑事政策,pending,単発出現のため採否保留
刑事法を研究するには、刑法理論、判例、刑事手続、犯罪学、刑事政策をどう組み合わせる必要があるのか？,刑事法を研究するには、刑法理論、判例、刑事手続、犯罪学、刑事政策をどう組み合わせる必要があるのか？,1,society,,redundant_question,low,reject,どのような行為を犯罪とし、刑罰を科すことはどのように正当化さ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
刑法・刑事法に関する国内学会,刑法・刑事法に関する国内学会,1,society,,isolated_term,low,needs_review,刑法・刑事法に関する国内学会。犯罪、刑罰、刑法理論、刑事政策,pending,単発出現のため採否保留
刑法・刑事法に関する国内学会。,刑法・刑事法に関する国内学会。,1,society,,sentence_fragment,low,reject,刑法・刑事法に関する国内学会。犯罪、刑罰、刑法理論、刑事政策,pending,文章断片は統制語候補にしない
刑法理論,刑法理論,1,society,,isolated_term,low,needs_review,刑法・刑事法に関する国内学会。犯罪、刑罰、刑法理論、刑事政策,pending,単発出現のため採否保留
制御理論,制御理論,1,journal,,isolated_term,low,needs_review,システム制御情報学会が発行する、システム、制御、情報に関する,pending,単発出現のため採否保留
動くシステムの状態を理解し、望ましい動きへ導く方法を研究する分野。,動くシステムの状態を理解し、望ましい動きへ導く方法を研究する分野。,1,field,,sentence_fragment,low,reject,動くシステムの状態を理解し、望ましい動きへ導く方法を研究する,pending,文章断片は統制語候補にしない
動脈硬化と脂質代謝に関する国内学会,動脈硬化と脂質代謝に関する国内学会,1,society,,isolated_term,low,needs_review,動脈硬化と脂質代謝に関する国内学会。脂質異常症、血管炎症、プ,pending,単発出現のため採否保留
動脈硬化と脂質代謝に関する国内学会。,動脈硬化と脂質代謝に関する国内学会。,1,society,,sentence_fragment,low,reject,動脈硬化と脂質代謝に関する国内学会。脂質異常症、血管炎症、プ,pending,文章断片は統制語候補にしない
化学反応,化学反応,1,lab,,isolated_term,low,needs_review,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,pending,単発出現のため採否保留
医薬品の有効性,医薬品の有効性,1,society,,isolated_term,low,needs_review,薬剤疫学に関する国内学会。医薬品の有効性、安全性、使用実態、,pending,単発出現のため採否保留
同じデータから異なる結論が出るとき、どの判断がより信頼できるかをどう比べるのか？,同じデータから異なる結論が出るとき、どの判断がより信頼できるかをどう比べるのか？,1,field,,redundant_question,low,reject,データに見える差は、本当の違いなのか、それとも偶然のばらつき,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
同じ変化の規則から、安定、周期、カオスが生じるのはなぜか？,同じ変化の規則から、安定、周期、カオスが生じるのはなぜか？,1,field,,redundant_question,low,reject,同じ変化の規則から、安定、周期、カオスが生じるのはなぜか？ ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
同相,同相,1,field,,isolated_term,low,needs_review,位相空間 / 連続写像 / 同相 / コンパクト性 / 連結,pending,単発出現のため採否保留
問題の内容が違っても、計算の難しさを共通の尺度でどこまで比較できるのか？,問題の内容が違っても、計算の難しさを共通の尺度でどこまで比較できるのか？,1,field,,redundant_question,low,reject,問題の内容が違っても、計算の難しさを共通の尺度でどこまで比較,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
図形を切ったり貼ったりせず、連続的に変形しても変わらない性質を研究する分野。,図形を切ったり貼ったりせず、連続的に変形しても変わらない性質を研究する分野。,1,field,,sentence_fragment,low,reject,図形を切ったり貼ったりせず、連続的に変形しても変わらない性質,pending,文章断片は統制語候補にしない
図形を切らずに変形するとき、変わらずに残る性質は何か？,図形を切らずに変形するとき、変わらずに残る性質は何か？,1,field,,redundant_question,low,reject,図形を切らずに変形するとき、変わらずに残る性質は何か？ / ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
固定点,固定点,1,field,,isolated_term,low,needs_review,状態空間 / 軌道 / 固定点 / 周期軌道 / アトラクタ,pending,単発出現のため採否保留
変圧器などの内部で生じる電磁界と,変圧器などの内部で生じる電磁界と,1,lab,,isolated_term,low,needs_review,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,pending,単発出現のため採否保留
多値真理,多値真理,1,field,,isolated_term,low,needs_review,多値真理 / 矛盾 / 関連性 / 資源 / 曖昧さ / 非,pending,単発出現のため採否保留
多数の電子の動きを数理モデルで表すと、まだ知られていない物質の状態をどのように予測できるのか？,多数の電子の動きを数理モデルで表すと、まだ知られていない物質の状態をどのように予測できるのか？,1,lab,,redundant_question,low,reject,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
多様な研究成果を広く共有することで、科学コミュニティ全体の議論や応用をどう促進できるのか？,多様な研究成果を広く共有することで、科学コミュニティ全体の議論や応用をどう促進できるのか？,1,journal,,redundant_question,low,reject,分野を横断する科学的発見は、生命、物質、環境、社会の理解をど,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
大気の構造や変動は、放射、雲、化学反応、循環、地表面との相互作用でどう決まるのか？,大気の構造や変動は、放射、雲、化学反応、循環、地表面との相互作用でどう決まるのか？,1,journal,,redundant_question,low,reject,大気の構造や変動は、放射、雲、化学反応、循環、地表面との相互,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
大気物理,大気物理,1,journal,,isolated_term,low,needs_review,AGUが発行する、大気科学を扱う国際主要誌。大気物理、化学、,pending,単発出現のため採否保留
大気科学を扱う国際主要誌,大気科学を扱う国際主要誌,1,journal,,isolated_term,low,needs_review,AGUが発行する、大気科学を扱う国際主要誌。大気物理、化学、,pending,単発出現のため採否保留
宇宙ミッション,宇宙ミッション,1,society,,isolated_term,low,needs_review,宇宙航行・宇宙工学に関する国際学会。宇宙ミッション、軌道、宇,pending,単発出現のため採否保留
宇宙機,宇宙機,1,society,,isolated_term,low,needs_review,宇宙航行・宇宙工学に関する国際学会。宇宙ミッション、軌道、宇,pending,単発出現のため採否保留
宇宙機や探査ミッションは、軌道、推進、通信、運用、目的設計をどのように組み合わせて実現されているのか？,宇宙機や探査ミッションは、軌道、推進、通信、運用、目的設計をどのように組み合わせて実現されているのか？,1,society,,redundant_question,low,reject,宇宙機や探査ミッションは、軌道、推進、通信、運用、目的設計を,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
宇宙航行を発展させるには、宇宙工学、ミッション設計、軌道力学、政策、運用技術をどう結びつける必要があるのか？,宇宙航行を発展させるには、宇宙工学、ミッション設計、軌道力学、政策、運用技術をどう結びつける必要があるのか？,1,society,,redundant_question,low,reject,宇宙機や探査ミッションは、軌道、推進、通信、運用、目的設計を,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
宇宙航行・宇宙工学に関する国際学会,宇宙航行・宇宙工学に関する国際学会,1,society,,isolated_term,low,needs_review,宇宙航行・宇宙工学に関する国際学会。宇宙ミッション、軌道、宇,pending,単発出現のため採否保留
宇宙航行・宇宙工学に関する国際学会。,宇宙航行・宇宙工学に関する国際学会。,1,society,,sentence_fragment,low,reject,宇宙航行・宇宙工学に関する国際学会。宇宙ミッション、軌道、宇,pending,文章断片は統制語候補にしない
安全性,安全性,1,society,,isolated_term,low,needs_review,薬剤疫学に関する国内学会。医薬品の有効性、安全性、使用実態、,pending,単発出現のため採否保留
実際の医療現場で使われる薬は、集団の中でどのような効果や副作用、使用パターンを示しているのか？,実際の医療現場で使われる薬は、集団の中でどのような効果や副作用、使用パターンを示しているのか？,1,society,,redundant_question,low,reject,実際の医療現場で使われる薬は、集団の中でどのような効果や副作,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
弦,弦,1,field,,isolated_term,low,needs_review,弦 / ブレーン / 余剰次元 / 超対称粒子 / 双対性 ,pending,単発出現のため採否保留
形や動き,形や動き,1,lab,,isolated_term,low,needs_review,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,pending,単発出現のため採否保留
心筋梗塞や脳卒中を防ぐには、脂質管理、生活習慣、薬物療法、リスク評価をどのように組み合わせる必要があるのか？,心筋梗塞や脳卒中を防ぐには、脂質管理、生活習慣、薬物療法、リスク評価をどのように組み合わせる必要があるのか？,1,society,,redundant_question,low,reject,血管の中で脂質、炎症、内皮障害が重なると、動脈硬化はどのよう,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
慢性疼痛,慢性疼痛,1,journal,,isolated_term,low,needs_review,疼痛医学を扱う国際誌。慢性疼痛、神経障害性疼痛、薬物療法、介,pending,単発出現のため採否保留
